year,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,crime_total_murders,crime_total_firearms,crime_handguns,crime_rifles,crime_shotguns,crime_firearms_type_unknown,crime_knives__cutting _instruments,crime_other_weapons,crime_hands_fists_feet_etc,Political
31-Dec-06,New Jersey,0,0,16360,20311,0,617,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37318,428,289,270,0,7,12,69,47,23,Blue
31-Dec-15,Maryland,19122,0,37088,65102,1354,164,0,7,12,0,784,1803,20,53,21,1,0,0,12,107,10,12,16,6,125694,372,279,266,3,3,7,44,33,16,Blue
31-Dec-12,Maryland,166,0,66909,65937,459,181,0,12,31,0,909,1993,7,0,0,0,0,0,0,0,0,0,0,0,136604,365,277,265,5,2,5,45,28,15,Blue
31-Dec-13,Maryland,7207,0,132453,87046,1335,272,0,5,67,34,595,1963,54,0,0,0,0,1,4,85,52,0,7,2,231182,379,268,263,0,4,1,57,29,25,Blue
31-Dec-11,Maryland,290,0,45851,53678,318,165,0,19,14,0,813,1869,3,0,0,0,0,0,0,0,0,0,0,0,103020,398,272,262,2,5,3,75,34,17,Blue
31-Dec-19,New York,39598,26234,103076,157218,17004,2718,0,10,18,12,549,472,76,354,772,10,30,49,3552,3207,216,88,106,5,355374,550,298,255,3,5,35,119,89,44,Blue
31-Dec-18,New York,34512,20387,108936,164530,16203,2545,0,11,11,21,748,464,75,333,626,17,50,49,4611,3965,282,110,120,8,358614,546,313,254,6,10,43,124,63,46,Blue
31-Dec-07,New Jersey,0,0,16505,19322,0,536,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36412,380,260,244,1,5,10,46,37,37,Blue
31-Dec-11,New Jersey,0,0,31163,28005,231,849,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60256,379,269,238,1,5,25,51,41,18,Blue
31-Dec-12,New Jersey,0,0,45151,38508,2191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85851,385,273,237,6,3,27,63,32,17,Blue
31-Dec-17,New York,34301,16545,124253,181692,13149,2274,0,9,14,7,347,283,42,211,406,3,36,56,4925,3455,269,105,101,12,382495,547,292,233,6,9,44,113,91,51,Blue
31-Dec-13,New Jersey,0,0,66786,50287,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120071,401,291,229,0,2,60,53,37,20,Blue
31-Dec-10,New Jersey,0,0,25593,24032,0,888,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50522,363,246,216,7,2,21,50,39,28,Blue
31-Dec-16,New Jersey,0,0,70249,49099,2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121853,372,278,212,1,3,62,29,42,23,Blue
31-Dec-08,New Jersey,0,0,19042,20719,0,722,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40525,376,236,202,1,3,30,67,39,34,Blue
